waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0.0,3000.0,3.0,503.0,0.0,0.0,1.0,54.0,-484.04226693936715
0.0,3000.0,0.0,0.0,1.0,273.0,1.0,1193.0,-297.7709908332114
0.0,3000.0,1.0,163.0,0.0,0.0,2.0,1613.0,-371.90909324428554
0.0,3000.0,0.0,0.0,2.0,494.0,1.0,374.0,-298.39822288416974
0.0,3000.0,2.0,344.0,0.0,0.0,2.0,572.0,-403.1937609901127
0.0,3000.0,5.0,327.0,0.0,0.0,0.0,0.0,-310.3112882577961
0.0,3000.0,1.0,61.0,1.0,24.0,0.0,0.0,-70.88185881575373
0.0,3000.0,4.0,299.0,0.0,0.0,3.0,869.0,-400.44164840152166
0.0,3000.0,0.0,0.0,2.0,402.0,2.0,697.0,-295.5505170562909
0.0,3000.0,4.0,293.0,0.0,0.0,1.0,108.0,-292.58025141183805
0.0,3000.0,0.0,0.0,0.0,0.0,3.0,384.0,-52.38517638223565
0.0,3000.0,0.0,0.0,1.0,348.0,0.0,0.0,-174.7420221137068
0.0,3000.0,0.0,0.0,3.0,357.0,2.0,846.0,-292.98423058904723
0.0,3000.0,2.0,103.0,0.0,0.0,1.0,1978.0,-363.91560337160956
0.0,3000.0,1.0,78.0,1.0,32.0,1.0,776.0,-194.93982158178505
0.0,3000.0,1.0,78.0,3.0,513.0,1.0,1182.0,-489.8693617974866
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2659.0,-357.87190395177385
0.0,3000.0,1.0,30.0,1.0,234.0,2.0,1454.0,-341.63905148068375
0.0,3000.0,0.0,0.0,2.0,326.0,1.0,1587.0,-377.3077561982024
0.0,3000.0,1.0,73.0,0.0,0.0,1.0,1030.0,-208.46122515346337
1.0,1806.0,1.0,263.0,4.0,239.0,0.0,0.0,-331.1353743785476
0.0,3000.0,1.0,36.0,3.0,596.0,0.0,0.0,-333.0651261067166
0.0,3000.0,0.0,0.0,2.0,360.0,1.0,1842.0,-428.37187497192093
0.0,3000.0,2.0,133.0,3.0,690.0,2.0,745.0,-571.9010811282117
0.0,3000.0,1.0,65.0,3.0,628.0,1.0,993.0,-509.98837232923194
0.0,3000.0,2.0,144.0,3.0,859.0,1.0,520.0,-636.5870388073869
0.0,3000.0,1.0,52.0,5.0,671.0,1.0,174.0,-408.89720045241154
0.0,3000.0,1.0,105.0,3.0,696.0,1.0,1051.0,-589.4429897325589
0.0,3000.0,1.0,36.0,2.0,527.0,0.0,0.0,-298.42031060761605
0.0,3000.0,1.0,63.0,1.0,34.0,1.0,1411.0,-267.10511703659716
0.0,3000.0,2.0,170.0,2.0,682.0,1.0,1172.0,-660.2985681881149
0.0,3000.0,1.0,32.0,5.0,1005.0,0.0,0.0,-533.8938062537264
0.0,3000.0,1.0,263.0,3.0,566.0,1.0,1479.0,-731.3581003206236
0.0,3000.0,0.0,0.0,3.0,903.0,1.0,1203.0,-614.4355226278028
0.0,3000.0,2.0,87.0,5.0,1391.0,1.0,881.0,-897.0496213071262
0.0,3000.0,1.0,184.0,1.0,249.0,2.0,1269.0,-470.28348782303203
0.0,3000.0,4.0,468.0,4.0,949.0,1.0,1111.0,-1067.5804545965034
0.0,3000.0,0.0,0.0,3.0,447.0,1.0,1469.0,-421.986615563252
0.0,3000.0,2.0,223.0,8.0,2591.0,0.0,0.0,-1507.2914009435576
0.0,3000.0,4.0,452.0,6.0,1729.0,0.0,0.0,-1293.1413635668682
0.0,3000.0,1.0,85.0,2.0,70.0,1.0,1846.0,-364.27192727923057
0.0,3000.0,4.0,336.0,3.0,745.0,1.0,1645.0,-912.2889610874447
0.0,3000.0,2.0,137.0,1.0,17.0,1.0,1697.0,-367.1354391425503
0.0,3000.0,0.0,0.0,3.0,531.0,1.0,1380.0,-451.69169940176084
0.0,3000.0,3.0,263.0,3.0,480.0,1.0,1650.0,-711.5040773886022
0.0,3000.0,1.0,99.0,0.0,0.0,2.0,1638.0,-314.5733777713632
0.0,3000.0,0.0,0.0,3.0,518.0,1.0,1691.0,-487.1963656631888
0.0,3000.0,1.0,58.0,3.0,600.0,1.0,1387.0,-542.3227623469662
0.0,3000.0,1.0,99.0,1.0,21.0,1.0,530.0,-176.46336016161152
0.0,3000.0,1.0,91.0,2.0,440.0,1.0,1481.0,-506.06931986952253
0.0,3000.0,3.0,420.0,2.0,418.0,1.0,1535.0,-813.3458048727588
0.0,3000.0,4.0,297.0,2.0,207.0,1.0,1483.0,-584.7864545234303
0.0,3000.0,3.0,174.0,0.0,0.0,1.0,1819.0,-410.15450967764036
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2675.0,-360.4611109127677
0.0,3000.0,1.0,106.0,3.0,428.0,2.0,616.0,-398.1585115785284
